X,name,year,month,province,meantemp,rain,humi,number,seq,SO2,NO2,PM10,CO,O3_8h,PM2.5,beta,sunlight,population,,,,
1,西藏,2013,1,Tibet,-4.94,3.79,28.64,4,1,35,31,91,2,65,43,5.40549126,230.28,3120000,,,,
2,西藏,2013,2,Tibet,-1.99,10.91,38.08,2,2,7,18,47,1.2,93,26,3.653432982,201.61,3120000,,,,
3,西藏,2013,3,Tibet,1.54,12.17,40.67,0,3,10,19,59,1.4,100,23,28.93693575,222.17,3120000,,,,
4,西藏,2013,4,Tibet,4.72,22.69,49.56,3,4,9,20,68,1.4,133,25,33.1081483,213.76,3120000,,,,
5,西藏,2013,5,Tibet,8.9,46.03,52.64,4,5,8,18,72,1.1,141,29,41.10792099,240.13,3120000,,,,
6,西藏,2013,6,Tibet,13.57,87.4,56.1,4,6,8,15,45,1.3,127,22,20.14929731,220.26,3120000,,,,
7,西藏,2013,7,Tibet,14.03,112.66,66.64,6,7,10,13,36,1.9,93,15,21.23718294,174.13,3120000,,,,
8,西藏,2013,8,Tibet,13.12,74.18,61.26,6,8,10,14,45,1.8,116,21,17.74000498,234.82,3120000,,,,
9,西藏,2013,9,Tibet,10.22,67.44,63.87,1,9,10,16,43,1.2,99,18,20.46935588,203.2,3120000,,,,
10,西藏,2013,10,Tibet,5.46,43.24,57.64,3,10,8,19,52,0.6,97,21,23.91782408,208.16,3120000,,,,
11,西藏,2013,11,Tibet,-0.04,2.31,37.44,8,11,9,23,55,0.9,83,25,23.84778533,240.92,3120000,,,,
12,西藏,2013,12,Tibet,-3.63,0.75,32.13,7,12,11,24,91,1.4,85,34,19.01332992,233.86,3120000,,,,
13,西藏,2014,1,Tibet,-3.93,2.31,33.13,1,13,11,19,52,1.5,77,24,12.57740863,223.02,3180000,,,,
14,西藏,2014,2,Tibet,-1.71,5.48,32.95,2,14,9,14,74,1.1,95,23,8.224895052,192.2,3180000,,,,
15,西藏,2014,3,Tibet,1.11,12.63,38.64,0,15,9,13,53,1,103,21,34.45244618,219.56,3180000,,,,
16,西藏,2014,4,Tibet,4.7,18,43.18,1,16,12,15,76,1.2,128,29,39.88879602,217.24,3180000,,,,
17,西藏,2014,5,Tibet,9.46,35.89,48.9,10,17,13,15,62,1.1,135,25,47.10076696,232.51,3180000,,,,
18,西藏,2014,6,Tibet,13.68,61.3,52.59,13,18,11,16,49,0.7,125,20,19.8684706,233.2,3180000,,,,
