X,name,year,month,province,meantemp,rain,humi,number,seq,SO2,NO2,PM10,CO,O3_8h,PM2.5,beta,sunlight,population
1,海南,2013,1,Hainan,20.01,9.46,81.44,1,1,8,21,65,0.9,73,47,0.956826898,101.66,8950000
2,海南,2013,2,Hainan,22.53,19.53,83.89,0,2,5,16,40,0.8,67,24,16.26102795,126.02,8950000
3,海南,2013,3,Hainan,24.2,55.17,81.11,0,3,4,14,44,0.7,59,22,29.6861789,179.8,8950000
4,海南,2013,4,Hainan,26.09,77.21,82.56,2,4,5,16,41,0.8,51,21,29.64115893,159.36,8950000
5,海南,2013,5,Hainan,28.31,138.29,80.67,0,5,5,16,34,0.7,57,14,28.58272833,234.88,8950000
6,海南,2013,6,Hainan,28.4,174.37,79.22,0,6,6,15,31,0.7,50,14,26.5218331,229,8950000
7,海南,2013,7,Hainan,27.68,217.33,82.89,1,7,4,13,21,0.6,32,8,26.62049662,200,8950000
8,海南,2013,8,Hainan,27.84,203.04,82.89,0,8,5,14,29,0.6,35,11,19.57961589,206.54,8950000
9,海南,2013,9,Hainan,26.79,176.05,86.11,0,9,4,12,35,0.7,46,18,28.95360574,131.56,8950000
10,海南,2013,10,Hainan,25.21,155.03,79.89,0,10,10,17,77,0.9,106,49,38.79717767,161,8950000
11,海南,2013,11,Hainan,23.6,156.59,83.11,1,11,8,15,57,0.8,76,30,31.67079502,80.44,8950000
12,海南,2013,12,Hainan,18.87,102.09,75.11,0,12,15,23,91,1,77,64,25.00492269,132.2,8950000
13,海南,2014,1,Hainan,19.1,4.21,77,2,13,8,17,75,0.8,99,50,15.19684669,187.9,9030000
14,海南,2014,2,Hainan,19.6,18.66,85.11,0,14,3,14,34,0.8,52,19,30.85595675,119.6,9030000
15,海南,2014,3,Hainan,23.56,15.42,85.89,1,15,3,14,39,0.7,53,19,16.46696229,151.76,9030000
16,海南,2014,4,Hainan,26.54,93.49,84.67,0,16,3,11,34,0.6,52,18,58.48508173,164.78,9030000
17,海南,2014,5,Hainan,28.8,135.14,81.11,2,17,3,13,27,0.6,61,13,42.87460676,267,9030000
18,海南,2014,6,Hainan,29.24,147.62,81.44,1,18,4,16,29,0.6,60,13,42.87981438,236.5,9030000
19,海南,2014,7,Hainan,28.56,223.85,83.44,0,19,4,15,25,0.6,48,11,17.62324174,257.96,9030000
20,海南,2014,8,Hainan,28.33,176.57,82.89,1,20,4,15,25,0.6,43,10,17.26731359,224.94,9030000
21,海南,2014,9,Hainan,27.52,231.07,84.67,0,21,4,16,30,0.6,56,15,27.02170793,228.48,9030000
22,海南,2014,10,Hainan,26.13,128.08,81.44,0,22,5,16,54,0.7,102,30,15.86266485,200.16,9030000
23,海南,2014,11,Hainan,24.62,92.72,84.44,0,23,4,16,40,0.7,73,21,35.18309383,147.66,9030000
24,海南,2014,12,Hainan,19.94,80.1,83.22,0,24,5,15,49,0.8,80,29,63.40448337,60.76,9030000
25,海南,2015,1,Hainan,19.21,16.03,79.89,3,25,5,18,57,0.8,93,35,58.27256134,187.56,9110000
26,海南,2015,2,Hainan,21.34,4.69,82.56,4,26,3,9,51,0.7,75,34,38.93485579,120.98,9110000
27,海南,2015,3,Hainan,24.48,14.76,82.44,0,27,3,10,34,0.6,60,17,19.51292319,180.44,9110000
