X,name,year,month,province,meantemp,rain,humi,number,seq,SO2,NO2,PM10,CO,O3_8h,PM2.5,beta_cases,beta_smooth_2,beta_smooth_3,beta_smooth_4,beta_smooth_5,sunlight,population,,,,
1,海南,2013,1,Hainan,20.01,9.46,81.44,1,1,8,21,65,0.9,73,47,1.684878394,1.684878394,0.956826898,0.956826898,16.26102795,101.66,8950000,,,,
2,海南,2013,2,Hainan,22.53,19.53,83.89,0,2,5,16,40,0.8,67,24,0.228775401,0.956826898,16.26102795,16.26102795,22.68585377,126.02,8950000,,,,
3,海南,2013,3,Hainan,24.2,55.17,81.11,0,3,4,14,44,0.7,59,22,46.86943007,23.54910273,29.6861789,22.68585377,18.16742612,179.8,8950000,,,,
4,海南,2013,4,Hainan,26.09,77.21,82.56,2,4,5,16,41,0.8,51,21,41.96033122,44.41488064,29.64115893,22.28806305,26.56927809,159.36,8950000,,,,
5,海南,2013,5,Hainan,28.31,138.29,80.67,0,5,5,16,34,0.7,57,14,0.093715501,21.02702336,28.58272833,33.15440376,33.67905212,234.88,8950000,,,,
6,海南,2013,6,Hainan,28.4,174.37,79.22,0,6,6,15,31,0.7,50,14,43.69413826,21.89392688,26.5218331,30.38145763,24.38310732,229,8950000,,,,
7,海南,2013,7,Hainan,27.68,217.33,82.89,1,7,4,13,21,0.6,32,8,35.77764555,39.73589191,26.62049662,19.98880134,20.50534029,200,8950000,,,,
8,海南,2013,8,Hainan,27.84,203.04,82.89,0,8,5,14,29,0.6,35,11,0.389706053,18.0836758,19.57961589,25.60824648,33.26652021,206.54,8950000,,,,
9,海南,2013,9,Hainan,26.79,176.05,86.11,0,9,4,12,35,0.7,46,18,22.57149606,11.48060106,28.95360574,30.65961569,30.51177692,131.56,8950000,,,,
10,海南,2013,10,Hainan,25.21,155.03,79.89,0,10,10,17,77,0.9,106,49,63.89961511,43.23555558,38.79717767,29.19530977,23.59471743,161,8950000,,,,
11,海南,2013,11,Hainan,23.6,156.59,83.11,1,11,8,15,57,0.8,76,30,29.92042184,46.91001847,31.67079502,29.39597028,32.29717585,80.44,8950000,,,,
12,海南,2013,12,Hainan,18.87,102.09,75.11,0,12,15,23,91,1,77,64,1.192348105,15.55638497,25.00492269,34.7285958,27.8821154,132.2,8950000,,,,
13,海南,2014,1,Hainan,19.1,4.21,77,2,13,8,17,75,0.8,99,50,43.90199813,22.54717312,15.19684669,18.87774048,24.73612804,187.9,9030000,,,,
14,海南,2014,2,Hainan,19.6,18.66,85.11,0,14,3,14,34,0.8,52,19,0.496193827,22.19909598,30.85595675,23.44005459,18.89904662,119.6,9030000,,,,
15,海南,2014,3,Hainan,23.56,15.42,85.89,1,15,3,14,39,0.7,53,19,48.16967828,24.33293605,16.46696229,23.32572125,43.97068743,151.76,9030000,,,,
16,海南,2014,4,Hainan,26.54,93.49,84.67,0,16,3,11,34,0.6,52,18,0.735014753,24.45234652,58.48508173,43.98785975,35.45793848,164.78,9030000,,,,
17,海南,2014,5,Hainan,28.8,135.14,81.11,2,17,3,13,27,0.6,61,13,126.5505522,63.64278345,42.87460676,44.19837464,35.50882724,267,9030000,,,,
